SMILES,logKow
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,4.5
O=C1NC(=O)C(Cc2ccccc2)(Cc2ccccc2)N1,2.46
Cc1cccc(Cl)c1Nc1ccccc1CC(=O)O,4.37
CSc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2C,2.95
CC(C)N1CCOC(c2ccccc2)C1,2.3
S=C=Nc1ccc(Nc2ccccc2)cc1,4.94
CC=CC#CC=C1C=CC(=O)O1,2.09
CC1C(C)N(N=O)C(C)C(C)N1N=O,0.91
CCOC(=O)CNC(=O)CNC(=O)CNC(=O)CCCCSc1ncnc2nc[nH]c12,0.21
CSc1ccc(NS(=O)(=O)C(F)(F)F)cc1,3.74
CS(=O)(=O)c1cccc(NS(=O)(=O)C(F)(F)F)c1,1.85
CS(=O)(=O)c1ccc(NS(=O)(=O)C(F)(F)F)cc1,1.99
CC(=O)c1cccc(NS(=O)(=O)C(F)(F)F)c1,2.78
O=S(=O)(Nc1cccc(O)c1)C(F)(F)F,2.51
CC(=O)c1ccc(NS(=O)(=O)C(F)(F)F)cc1,2.83
O=S(=O)(Nc1ccc(Cl)cc1Cl)C(F)(F)F,3.88
O=S(=O)(Nc1ccc(F)cc1)C(F)(F)F,3.25
O=S(=O)(Nc1cccc(F)c1)C(F)(F)F,3.42
O=S(=O)(Nc1cccc(Cl)c1)C(F)(F)F,4
O=S(=O)(Nc1ccc(Cl)cc1)C(F)(F)F,3.96
O=S(=O)(Nc1cccc(Br)c1)C(F)(F)F,3.82
O=S(=O)(Nc1ccc(I)cc1)C(F)(F)F,4.39
O=S(=O)(Nc1cccc(C(F)(F)F)c1)C(F)(F)F,4.5
O=S(=O)(Nc1ccc(C(F)(F)F)cc1)C(F)(F)F,4.47
O=S(=O)(Nc1ccc(F)cc1F)C(F)(F)F,3.06
COc1cccc(NS(=O)(=O)C(F)(F)F)c1,3.13
COc1ccc(NS(=O)(=O)C(F)(F)F)cc1,3
O=C(C=Cc1ccc2c(c1)OCO2)N1CCCCC1,2.82
O=c1nc(-c2ccccc2)c2ccccc2[nH]1,1.91
O=c1ccnc2ccccn12,0.2
Cc1cccc2nccc(=O)n12,0.74
Cc1cccn2c(=O)ccnc12,0.79
Cc1ccc2nccc(=O)n2c1,0.61
CN(C)N=Nc1ccc(C#N)cc1,2.39
O=C(Cc1ccccc1)Nc1cccc(O)c1,2.22
CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,4.85
COP(=O)(OC)OC1=C(Cl)C2C=CCC12,2.32
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,1.4
CC(C)c1cnc([N+](=O)[O-])n1C,1.09
Cc1cnc([N+](=O)[O-])n1CCO,0.18
CCCCCCOC(=O)c1cccnc1,3.51
O=P(O)(O)CN(CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,-4.43
